id,similiar_items
206852,"[[0.1110941521313413, 3291285], [0.091573887139345916, 3291237], [0.087930354023029733, 3291276], [0.084082172801153543, 3125718], [0.082432851884711056, 3150063], [0.082360460510700353, 3150198], [0.081857600531003799, 3150177], [0.081799585055958079, 3150090], [0.081799585055958079, 3149901], [0.078360917810700773, 2959497], [0.078165667995809263, 3152304], [0.078165667995809263, 3150636], [0.078005952033927406, 3152136], [0.078005952033927406, 3152349], [0.077645013629577736, 3150516], [0.077636551556532096, 3151815], [0.077604946049586426, 3152064], [0.077593449641779846, 3151995]]"
3221023,"[[0.20035363541920662, 325618], [0.17098171521962038, 129067], [0.1523258844011581, 128947], [0.13022138172878989, 130589], [0.13013780905491243, 130661], [0.09669698270602213, 129071], [0.046469564314063794, 3280024], [0.04646042754139916, 3223633], [0.04646042754139916, 3219862], [0.046446953915196064, 3223594], [0.046439503001633936, 3219850], [0.046430619474334509, 3219781], [0.046423176417749082, 3219802], [0.046423176417749082, 3223657], [0.046319934510006266, 3280072], [0.046319264639553201, 3280054], [0.046307514083122565, 3280030], [0.046301487053068816, 3220003]]"
844828,"[[0.16433090631306302, 3155445], [0.13263338329437085, 859787], [0.1273910985928754, 278776], [0.12518408918196997, 3126360], [0.1224938778528176, 3291285], [0.11926343471921509, 3126354], [0.11886621309893836, 3165951], [0.11364517109403251, 190544], [0.11324873602132843, 3291276], [0.11322440900662123, 3134970], [0.11049839503073532, 2959067], [0.10660546476694278, 3291237], [0.10478020464254542, 2976765], [0.10395639474377132, 3130161], [0.10170396984310968, 209029], [0.099079461459594384, 3125718], [0.09773219538822242, 159279], [0.095682448614791638, 2875638]]"
130589,"[[0.92020193605087197, 130661], [0.2966403479761861, 325618], [0.27880085765269164, 3336132], [0.24276680154070429, 3311946], [0.22065818204055992, 129067], [0.22045986223851291, 128947], [0.19047535018781306, 129071], [0.13168130255557883, 2903681], [0.13022138172878989, 3221023], [0.11883165431284676, 791234], [0.11257066288598588, 3197688], [0.088218810061368086, 3195963], [0.087375250705845717, 3195957], [0.086275078220666948, 3196212], [0.079421525243476121, 3195939], [0.063018209024443397, 3280024], [0.062689505893506289, 3219748], [0.060860312212161406, 3226525]]"
215741,"[[0.14242504822178972, 2943612], [0.14181049839213261, 3184329], [0.13529950386620801, 2919646], [0.12593620294845106, 3279811], [0.12488919841860832, 2977225], [0.12470188021371353, 3207474], [0.1240682543394175, 3129786], [0.12344748574940695, 3218692], [0.11933466297852866, 2956792], [0.11929119874068134, 3220477], [0.11907293982273082, 3112554], [0.11831723971103374, 3222646], [0.11785539894748803, 96749], [0.11678873768521036, 3227914], [0.11321819338692511, 3120735], [0.11311540419940001, 3221410], [0.11304994797209743, 3207630], [0.11106165037449904, 3207675]]"
3369156,"[[0.082754942583827651, 3291285], [0.079893999618178238, 3291276], [0.07820338688778887, 3291237], [0.075118986836095261, 3195681], [0.074465644110748089, 3195669], [0.073735764510672666, 3196302], [0.07347374131826899, 3196260], [0.072336293857813219, 3196986], [0.070533554510526023, 3208386], [0.070317255055428574, 2898406], [0.067347385261533846, 2875638], [0.066737925415221347, 2874243], [0.066184768512388803, 2875633], [0.065819552048601709, 3196332], [0.065390636304778912, 2978295], [0.064880977303546153, 3283167], [0.064648932981780829, 3015198], [0.063903751639744891, 3125718]]"
3369486,"[[0.18296277229088018, 3342066], [0.1697868128972996, 3342021], [0.11165088739619151, 3116241], [0.10853276924618234, 3280525], [0.10627564519084745, 3319968], [0.10509685010067094, 3258841], [0.10509685010067094, 3258877], [0.10507922582576643, 3258763], [0.092569048874752036, 844784], [0.075555073104772663, 2908106], [0.074700748951566143, 3131736], [0.074174813425314345, 3301377], [0.065786876381796588, 844703], [0.064918604448768444, 3234395], [0.064846119547952011, 3049357], [0.064491015448994937, 3333942], [0.064427137015683186, 3053482], [0.06345265463590774, 3264616]]"
3369549,"[[0.16778301751751895, 3291285], [0.16073497644582654, 3291276], [0.14813806083456335, 3291237], [0.14307087126385148, 2978295], [0.1422559216247708, 3298413], [0.13371102684500355, 2875633], [0.1327534552438264, 2875638], [0.13135750523312001, 2874243], [0.12697498748992331, 3298557], [0.12561747799872655, 3125718], [0.11533771824669382, 3218737], [0.11334544024006118, 3057467], [0.11207333223875321, 2870438], [0.11153138115749509, 3319230], [0.11118846180208275, 3291888], [0.11085105540179054, 3168147], [0.11085105540179054, 3168174], [0.11085105540179054, 3167712]]"
3369669,"[[0.15625391428035387, 3159177], [0.13379480148490031, 3257620], [0.12798048765642805, 2965000], [0.10694520891120493, 3149199], [0.10428686055526136, 2887476], [0.09818147762277496, 328642], [0.091964449124752198, 2965305], [0.087340349691390609, 3250930], [0.084681967101042116, 3291285], [0.08453320696786798, 2978295], [0.08205078568400985, 3291276], [0.08072058591081327, 3164685], [0.078754133465391174, 3069673], [0.078336289981987745, 2883793], [0.077035070808077893, 2875638], [0.076948124984026617, 3259612], [0.076077725214829403, 3291237], [0.075323474431546494, 3205023]]"
88045,"[[0.11010242471277838, 1722346], [0.11008281831585601, 1722546], [0.11002080135195343, 1722416], [0.10988599332842425, 1722301], [0.10983766855364002, 1722331], [0.10975329460723458, 1722361], [0.10599300203953667, 2251565], [0.089835858478205216, 3291285], [0.086262288656941882, 3291276], [0.08446136303717508, 3291237], [0.072628463261665513, 2875638], [0.072617780296414247, 3314265], [0.072617780296414247, 3314307], [0.072562426689153456, 3125718], [0.072498241198345179, 3317361], [0.071914857710304717, 3057467], [0.071374194211338754, 2875633], [0.071039194659559393, 3319230]]"
